tu_fico_9,tradeline_count,inquiry_count,collection_count,revolving_utilization,delinquent_secured,delinquent_unsecured,bankruptcy_count,stated_indiv_income,stated_additional_income,tu_income_estimate,tu_monthly_payments,tu_mortgage_payments,riskview,principal,cpb,days_delinquent,payment_history
685,10,1,2,49,0,0,0,75000,0,56,456,0,680,,,,"installment;2011-05-15;2012-02-19;0;1050;0;0;individual;1X111111;0,installment;2012-06-28;2013-06-09;0;1565;0;0;individual;1111X111111;0,installment;2013-09-17;2014-09-25;0;2600;0;0;individual;1XX11111111;0,installment;2016-03-14;2017-06-02;0;3075;0;0;individual;11111111111111;0,installment;2017-06-02;2019-09-09;0;4075;0;0;individual;1X111111111111111111111111;0,installment;2020-01-30;2021-03-31;2550;4075;0;0;individual;X111111111111;220,installment;2020-10-15;2021-03-31;2565;3240;0;0;jointContractLiability;11111;135,revolving;2017-11-28;2021-04-28;488;512;1500;0;individual;1111111111111111111111111111111111111111;25,revolving;2020-06-21;2021-04-19;780;999;1000;0;individual;111111111;29,revolving;2020-09-06;2021-04-28;227;246;500;0;individual;1111111;47"
554,14,12,2,100,0,0,0,69000,0,48,268,0,,,,,"installment;2015-10-08;2019-10-31;0;1750;0;0;individual;1X11XX111XXXX1XXX11111XXXXXXXXXXXXXXX111;0,installment;2016-04-13;2018-03-30;0;14665;0;0;individual;;0,installment;2016-09-16;2021-04-03;7455;19497;0;0;individual;;149,installment;2016-10-05;2019-10-31;0;3500;0;0;individual;1X11XX111XXXX1X111111111111111111111;0,installment;2016-12-30;2016-12-30;0;2462;0;0;individual;;0,installment;2017-01-09;2019-09-30;1976;3230;0;0;individual;;19,open;2009-06-24;2021-04-02;49;0;0;0;individual;1;1,open;2014-09-03;2021-04-01;1114;1114;0;1114;individual;;33,revolving;2008-05-16;2012-11-01;0;600;1100;0;individual;1;0,revolving;2011-06-14;2012-04-27;0;656;800;0;individual;1111111111;0,revolving;2014-09-04;2021-04-23;905;1359;900;0;individual;111111111111111111111111111111111111111111111111;20,revolving;2019-11-27;2021-04-09;566;566;0;566;individual;;11,revolving;2020-07-13;2021-04-16;496;529;500;0;authorizedUser;11111111;35"
637,2,0,0,0,0,0,0,10600,0,57,0,0,,,,,"revolving;1998-05-13;2021-04-21;0;5;2200;0;individual;11111111111X1111111X1111111111111111111X11111111;0,revolving;2012-08-10;2021-03-15;0;1101;1300;0;individual;111113211111111111111211111111111111111111111111;0"
562,11,4,3,62,1,1,0,60000,0,50,86,0,,,,,"installment;2015-03-08;2016-04-22;0;319;0;0;individual;111X111XXXXX1;0,installment;2015-08-03;2015-11-30;0;1316;0;0;individual;111;0,installment;2015-11-08;2020-11-16;0;25984;0;0;jointContractLiability;111111111121XX2111111111111321211112111111111111;0,installment;2020-03-06;2021-03-31;1750;1750;0;0;individual;111111111111;17,installment;2020-03-06;2021-03-31;3002;3000;0;0;individual;111111111111;30,revolving;2014-11-08;2017-06-07;0;280;280;0;individual;1111111111111111111111111111111;0,revolving;2014-11-08;2021-04-24;0;368;240;0;authorizedUser;111111111111111111111111121111321154321143211111;0,revolving;2015-03-08;2021-04-21;304;328;858;0;individual;;6,revolving;2015-05-06;2021-04-06;424;424;300;424;individual;;8,revolving;2016-07-01;2019-12-11;0;1176;860;0;authorizedUser;;0,revolving;2020-10-10;2021-04-08;800;832;1050;0;authorizedUser;11111;25"
572,3,2,3,6,0,0,0,46000,0,47,370,0,,,,,"installment;2008-03-16;2014-12-09;0;22441;0;0;individual;11111;0,installment;2015-04-20;2021-03-31;16906;34046;0;16906;individual;;338,revolving;2021-03-18;2021-04-20;32;32;500;0;individual;;32"
617,14,9,1,31,0,0,0,58000,0,52,758,0,661,,,,"installment;2012-02-17;2016-03-01;0;33467;0;0;jointContractLiability;111111111111111111111111111111111111111111111111;0,installment;2016-02-27;2016-09-26;0;13666;0;0;individual;1111111;0,installment;2016-09-22;2021-03-31;18254;21000;0;18254;individual;;182,installment;2017-03-04;2021-03-31;3414;3500;0;3414;individual;;34,installment;2017-11-25;2019-07-12;0;11934;0;0;individual;11111111111111111111;0,installment;2019-07-04;2021-03-31;16253;19492;0;0;individual;11111111111111111111;460,revolving;2013-10-22;2016-03-24;0;8077;7500;0;authorizedUser;11111111111111111111111111111;0,revolving;2014-12-13;2018-09-30;701;701;1000;701;individual;;14,revolving;2016-12-04;2019-10-10;0;824;580;0;individual;1111111111111111111111111111111111;0,revolving;2016-12-04;2021-04-09;177;552;580;0;individual;111111111111111111;28,revolving;2017-07-02;2021-04-26;1018;1682;1350;0;individual;111111111111111111111111111111111111111111111;32,revolving;2017-11-22;2021-04-19;0;542;500;0;individual;1111111111111111111111111111111111111111;0,revolving;2019-01-21;2021-04-04;8;295;450;0;individual;11211111111111111111111111;8,revolving;2020-02-21;2021-04-06;0;39;1000;0;individual;1111111111111;0"
609,2,2,0,118,0,0,0,25200,0,30,335,0,643,,,,"installment;2021-01-09;2021-03-31;2345;2600;0;0;individual;X1;185,revolving;2020-10-10;2021-04-21;945;800;800;0;individual;111111;150"
738,3,1,0,0,0,0,0,135000,0,67,1559,1559,690,,,,"mortgage;2003-09-24;2014-08-31;0;187500;0;0;individual;111111;0,mortgage;2003-09-24;2021-04-12;117848;187500;0;0;individual;111111111111111111111111111111111111111111111111;1559,mortgage;2004-09-04;2019-01-31;0;28020;0;0;jointContractLiability;111111111111111111111111111111111111111111111111;0"
641,4,7,4,39,0,0,0,35000,0,58,1941,1771,781,,,,"mortgage;2020-07-21;2021-04-10;239464;242526;0;0;jointContractLiability;1111;1771,open;2020-07-21;2021-04-10;4851;4851;0;0;jointContractLiability;1111;145,revolving;2018-01-11;2021-04-11;716;1477;1500;0;individual;11111111111111111111111111111111111111;25,revolving;2019-05-30;2021-04-17;0;210;300;0;individual;1111111111111111111111;0"
597,13,3,2,3,2,0,0,85000,0,66,945,0,635,,,,"installment;2001-09-19;2021-03-31;3576;2665;0;0;individual;11111111111155411111X4111XXX111X11XXXX111X1111;35,installment;2004-09-20;2021-03-31;4767;3552;0;0;individual;11111111111155411111X4111XXX111X11XXXX111X1111;47,installment;2005-09-19;2021-03-31;3745;2791;0;0;individual;11111111111155411111X4111XXX111X11XXXX111X1111;37,installment;2013-04-15;2013-07-31;0;1582;0;0;individual;1X1;0,installment;2017-01-29;2021-04-16;14287;25146;0;0;individual;111111122XXXX122222221113322222222XX2XX111111111;480,installment;2020-11-27;2021-03-31;7234;7342;0;0;individual;1111;261,revolving;2013-03-25;2021-02-17;49;193;0;47;individual;;0,revolving;2013-12-17;2021-04-15;276;577;500;0;individual;111111111111111111111111111111111111111111111111;25,revolving;2016-04-15;2021-04-14;0;6296;13500;0;authorizedUser;111111111111111111111111;0,revolving;2016-11-06;2021-04-20;1570;3184;20200;0;authorizedUser;1111111111111111111111111;35,revolving;2017-08-06;2020-01-27;0;0;800;0;individual;11111111111111111111111111111;0,revolving;2019-03-25;2021-04-09;137;359;300;0;individual;111111111122111111111111;25,revolving;2021-03-13;2021-04-02;0;2070;20000;0;authorizedUser;;0"
432,15,25,5,64,25,0,0,57000,0,49,1291,706,,,,,"installment;2012-07-17;2014-08-28;0;2461;0;0;individual;;0,installment;2014-03-13;2018-05-31;5233;10708;0;0;individual;;104,installment;2017-11-04;2020-03-14;8269;11790;0;6718;jointContractLiability;;165,installment;2018-06-14;2021-03-31;7050;16769;0;7050;jointContractLiability;;141,mortgage;2009-05-22;2021-04-05;106576;95733;0;8124;jointContractLiability;555555555555555554X45443223312111115555555555554;706,revolving;2007-11-13;2021-04-12;178;571;500;0;individual;211121111111111111111111111111111111111111111121;42,revolving;2015-11-14;2016-08-31;449;449;300;222;individual;;8,revolving;2016-06-30;2019-12-17;0;0;800;0;authorizedUser;11111111111111111111111111111111111111111;0,revolving;2018-02-01;2021-04-26;336;487;400;0;individual;11111111111111111111111111111111111111;30,revolving;2018-04-04;2019-08-31;0;546;250;0;individual;;0,revolving;2018-04-22;2021-04-11;569;643;700;0;individual;11111111111111111111111111111111111;46,revolving;2018-07-18;2021-04-04;574;574;400;574;individual;;11,revolving;2018-08-20;2019-08-01;0;613;300;0;individual;;0,revolving;2020-08-01;2021-04-12;181;181;0;100;individual;;3,revolving;2020-10-23;2021-04-05;135;383;300;0;individual;21111;35"
662,49,50,0,8,0,0,1,45000,0,43,755,215,712,,,,"installment;2013-07-19;2013-09-24;0;1000;0;0;individual;11;0,installment;2018-01-15;2018-06-15;0;341;0;0;individual;11111;0,installment;2019-10-11;2020-07-20;0;592;0;0;individual;111111111;0,installment;2019-12-03;2020-07-20;0;5293;0;0;individual;1111111;0,installment;2020-01-09;2020-07-20;0;495;0;0;individual;111111;0,installment;2020-04-08;2020-07-20;0;552;0;0;individual;111;0,installment;2020-07-02;2020-07-21;0;554;0;0;individual;;0,installment;2020-07-13;2021-03-31;980;1442;0;0;individual;11111111;65,installment;2020-07-20;2021-03-31;16802;18413;0;0;individual;11111111;246,installment;2020-08-17;2020-12-08;0;168;0;0;individual;1111;0,installment;2020-09-22;2021-02-10;0;183;0;0;individual;11111;0,installment;2020-09-24;2021-03-31;3813;4100;0;0;individual;111111;96,installment;2020-12-10;2021-03-26;0;203;0;0;individual;111;0,lineOfCredit;2019-09-13;2020-03-31;0;1250;1250;0;individual;111111;0,lineOfCredit;2020-03-10;2021-03-31;0;200;200;0;individual;111111111111;0,mortgage;2021-03-26;2021-03-31;31679;31679;0;0;individual;;215,revolving;2012-10-17;2015-01-13;0;91;300;0;individual;11111111111111111111111111;0,revolving;2012-10-19;2013-02-13;0;123;200;0;individual;111;0,revolving;2013-04-25;2015-02-26;0;721;700;0;individual;1111111111111111111111;0,revolving;2013-05-21;2017-06-09;0;1236;1200;0;individual;111111111111111111111111111111111111111111111111;0,revolving;2014-05-30;2015-10-01;0;2500;2500;0;individual;1111111111111111;0,revolving;2016-05-10;2019-12-20;0;1365;1200;0;individual;;0,revolving;2017-09-27;2019-09-28;0;63;250;0;individual;111111111111111111111111;0,revolving;2018-01-07;2019-11-04;0;188;100;0;individual;;0,revolving;2018-01-07;2019-11-11;0;307;200;0;individual;;0,revolving;2018-02-22;2019-11-25;0;141;150;0;individual;;0,revolving;2018-02-22;2019-11-26;0;996;1000;0;individual;;0,revolving;2018-03-18;2019-11-18;0;464;500;0;individual;;0,revolving;2018-05-03;2019-09-28;0;0;550;0;individual;1X11XXXXXXXXXX11;0,revolving;2018-05-10;2019-10-12;0;0;550;0;individual;11111111111111111;0,revolving;2018-06-13;2019-11-26;0;543;500;0;individual;;0,revolving;2018-06-13;2020-01-13;0;0;500;0;individual;1111111111111111111;0,revolving;2018-06-24;2020-01-20;0;0;5500;0;individual;1111111111111111111;0,revolving;2018-06-24;2020-02-03;0;0;1800;0;individual;11111111111111111111;0,revolving;2018-06-26;2020-01-12;0;0;5500;0;individual;1111111111111111111;0,revolving;2018-06-28;2019-11-26;0;1273;1200;0;individual;;0,revolving;2018-07-01;2019-11-26;0;502;500;0;individual;;0,revolving;2018-07-01;2020-01-24;0;0;3000;0;individual;111111111111111111;0,revolving;2019-09-28;2021-04-17;280;632;800;0;individual;111111111111111111;25,revolving;2019-12-12;2021-04-06;136;278;300;0;individual;111111111111111;40,revolving;2019-12-26;2021-04-21;0;280;300;0;individual;111111111111111;0,revolving;2019-12-29;2021-03-11;0;309;300;0;individual;11111111111111;0,revolving;2020-02-18;2021-02-20;0;237;250;0;individual;111111111111;0,revolving;2020-03-10;2021-03-31;0;1433;2500;0;individual;111111111111;0,revolving;2020-09-03;2021-03-31;0;511;500;0;individual;111111;0,revolving;2020-12-02;2021-04-16;14;1480;3500;0;individual;111;20,revolving;2020-12-09;2021-03-31;768;780;1000;0;individual;111;28,revolving;2021-02-26;2021-04-26;322;322;5000;0;authorizedUser;1;20,revolving;2021-03-04;2021-04-12;0;53;1900;0;individual;;0"
638,2,0,0,0,0,0,0,50000,0,47,142,0,703,,,,"installment;2000-09-07;2021-03-31;2642;4600;0;0;individual;111111111111111111111111111111111112211111111111;142,revolving;2010-08-01;2019-12-30;0;252;250;0;individual;111111111111111111111111111111111111111111111111;0"
